epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,1232.95,0.7009,0.55381,0.00598,0.9689,0.75878,0.88088,0.80331,0.43883,0.61505,0.00366,0.0036264,0.0012088,0.0036264,0.0012088,0.0036264,0.0012088,0.0036264,0.0012088
90,1245.96,0.69775,0.55218,0.00622,0.96728,0.75987,0.8711,0.79301,0.40032,0.58927,0.00341,0.0033267,0.0011089,0.0033267,0.0011089,0.0033267,0.0011089,0.0033267,0.0011089
91,1261.13,0.54998,0.38574,0.00601,0.95826,0.77291,0.8839,0.80722,0.42551,0.5522,0.00358,0.003027,0.001009,0.003027,0.001009,0.003027,0.001009,0.003027,0.001009
92,1277.97,0.56267,0.3682,0.00634,0.95064,0.76118,0.88357,0.80202,0.41488,0.57145,0.00351,0.0027273,0.0009091,0.0027273,0.0009091,0.0027273,0.0009091,0.0027273,0.0009091
93,1290.42,0.55358,0.3811,0.00613,0.94115,0.77323,0.88186,0.80353,0.42497,0.6269,0.00348,0.0024276,0.0008092,0.0024276,0.0008092,0.0024276,0.0008092,0.0024276,0.0008092
94,1302.81,0.54941,0.38042,0.00617,0.93685,0.76929,0.86854,0.78921,0.42434,0.64355,0.00356,0.0021279,0.0007093,0.0021279,0.0007093,0.0021279,0.0007093,0.0021279,0.0007093
95,1314.72,0.5182,0.34599,0.00562,0.96036,0.77164,0.877,0.79688,0.41586,0.57736,0.00354,0.0018282,0.0006094,0.0018282,0.0006094,0.0018282,0.0006094,0.0018282,0.0006094
96,1325.99,0.50412,0.35472,0.00536,0.93702,0.7754,0.89814,0.82164,0.40007,0.58517,0.0034,0.0015285,0.0005095,0.0015285,0.0005095,0.0015285,0.0005095,0.0015285,0.0005095
97,1338.47,0.52895,0.35365,0.00593,0.93808,0.76294,0.8935,0.8179,0.40138,0.59137,0.00346,0.0012288,0.0004096,0.0012288,0.0004096,0.0012288,0.0004096,0.0012288,0.0004096
98,1350.93,0.52961,0.35873,0.00586,0.94883,0.77272,0.89903,0.82669,0.38093,0.56829,0.00323,0.0009291,0.0003097,0.0009291,0.0003097,0.0009291,0.0003097,0.0009291,0.0003097
99,1364.12,0.49559,0.34029,0.00543,0.94679,0.77331,0.89995,0.828,0.38616,0.56112,0.00327,0.0006294,0.0002098,0.0006294,0.0002098,0.0006294,0.0002098,0.0006294,0.0002098
100,1376.48,0.52147,0.35167,0.00581,0.95123,0.77764,0.90124,0.82816,0.37309,0.55702,0.00317,0.0003297,0.0001099,0.0003297,0.0001099,0.0003297,0.0001099,0.0003297,0.0001099
